,Unnamed: 0,site_id,building_id,primary_use,square_feet,year_built,floor_count,meter,timestamp,meter_reading,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed
8484048,8484048,3,385,Public services,18432,1973.0,,0,2016-06-05 21:00:00,48.11,29.4,6.0,21.7,0.0,1004.2,220.0,8.2
16825769,16825769,14,1244,Public services,95526,,,0,2016-11-01 10:00:00,125.64,2.2,0.0,-0.6,0.0,1027.1,350.0,2.1
10914141,10914141,7,791,Education,150695,,5.0,0,2016-07-19 01:00:00,855.36,21.4,,12.9,,1013.0,350.0,4.6
4023689,4023689,13,1138,Education,39988,,,0,2016-03-17 06:00:00,53.817,5.0,8.0,-1.1,0.0,1005.3,260.0,5.7
19766764,19766764,14,1225,Office,122746,,,0,2016-12-24 01:00:00,156.343,4.4,0.0,-4.4,0.0,1030.0,250.0,2.1
8937302,8937302,5,717,Education,28826,1976.0,2.0,0,2016-06-13 22:00:00,5.7,14.0,,14.0,,,270.0,3.1
7242851,7242851,12,1039,Education,30171,,3.0,0,2016-05-14 19:00:00,19.2175,11.4,1.0,2.4,,1023.2,150.0,4.0
4078130,4078130,9,960,Education,56137,,,1,2016-03-18 08:00:00,100.793,21.1,,20.6,0.0,1008.9,0.0,0.0
2058197,2058197,13,1080,Education,207115,,,2,2016-02-07 07:00:00,906.25,1.1,,-2.8,0.0,1006.7,210.0,4.6
19394692,19394692,1,106,Education,5374,,4.0,3,2016-12-17 12:00:00,10.0,6.5,,6.5,,1038.5,260.0,1.5
7911310,7911310,2,284,Entertainment/public assembly,230259,1975.0,,3,2016-05-26 17:00:00,0.0,23.3,2.0,2.2,0.0,1012.0,130.0,1.5
15438960,15438960,9,878,Lodging/residential,41241,,,1,2016-10-07 19:00:00,138.986,30.0,,20.6,0.0,1017.1,40.0,3.6
20060423,20060423,2,176,Education,62238,1970.0,,0,2016-12-29 06:00:00,56.98,12.2,8.0,6.7,0.0,1022.1,0.0,0.0
13676290,13676290,15,1427,Education,180625,1933.0,,2,2016-09-06 14:00:00,1232.15,20.0,0.0,16.1,,1021.2,0.0,0.0
14071355,14071355,14,1255,Office,23702,,,3,2016-09-13 14:00:00,193.185,21.7,2.0,16.7,0.0,1023.5,220.0,3.6
4949995,4949995,15,1351,Office,40611,,,1,2016-04-04 00:00:00,1.4269,-5.0,,-6.0,-1.0,,330.0,2.1
14729331,14729331,13,1100,Lodging/residential,174924,,,2,2016-09-25 06:00:00,375.0,20.0,8.0,17.8,-1.0,1014.0,140.0,5.1
16216222,16216222,15,1326,Office,46981,1962.0,,2,2016-10-21 13:00:00,2468.64,10.0,,9.4,18.0,1008.3,,2.6
19752529,19752529,13,1189,Office,98212,,,2,2016-12-23 19:00:00,1593.75,1.1,,-0.6,10.0,1013.4,180.0,3.6
6318772,6318772,3,496,Public services,16200,,,0,2016-04-28 09:00:00,45.96,12.2,8.0,10.0,0.0,1014.1,90.0,3.1
4533140,4533140,13,1169,Education,155439,,,0,2016-03-27 08:00:00,0.0,5.6,,3.9,0.0,1015.1,350.0,2.6
5188546,5188546,13,1109,Office,102191,,,1,2016-04-08 06:00:00,0.0,2.2,8.0,-2.8,0.0,1014.2,310.0,7.7
16623646,16623646,9,948,Entertainment/public assembly,20372,,,0,2016-10-28 20:00:00,13.0,27.8,,16.7,0.0,1020.0,150.0,2.1
7167204,7167204,4,576,Education,86465,2014.0,7.0,0,2016-05-13 11:00:00,152.5,13.9,,8.9,0.0,1016.3,280.0,3.1
17064713,17064713,15,1434,Education,33148,1967.0,,2,2016-11-05 15:00:00,212.351,9.4,,6.1,,1024.6,260.0,4.1
18127140,18127140,9,992,Office,51483,,,0,2016-11-24 14:00:00,23.0,10.0,0.0,8.9,0.0,1023.4,0.0,0.0
9310348,9310348,8,847,Entertainment/public assembly,9303,,1.0,0,2016-06-20 13:00:00,24.1667,25.6,,17.8,0.0,1022.6,30.0,4.6
2509950,2509950,9,903,Education,275793,,,2,2016-02-16 01:00:00,826.55,19.4,0.0,2.2,0.0,1013.2,350.0,1.5
17146217,17146217,13,1156,Education,259989,,,1,2016-11-07 02:00:00,1307.48,13.3,2.0,5.6,0.0,1021.4,150.0,2.6
15573639,15573639,9,918,Education,60621,,,0,2016-10-10 04:00:00,55.0,17.2,0.0,5.6,0.0,1023.4,0.0,0.0
2019116,2019116,13,1144,Office,152312,,,0,2016-02-06 14:00:00,455.48800000000006,-3.3,,-5.6,0.0,1021.0,180.0,3.1
10564431,10564431,8,842,Public services,7292,,1.0,0,2016-07-12 20:00:00,28.75,35.0,4.0,20.6,0.0,1018.2,0.0,0.0
18468779,18468779,4,569,Education,86091,1964.0,8.0,0,2016-11-30 15:00:00,334.5,9.4,,3.9,0.0,1020.9,140.0,3.1
5773822,5773822,9,956,Office,86167,,,0,2016-04-18 16:00:00,83.0,19.4,,18.3,5.0,1017.7,,2.1
8884937,8884937,1,112,Education,32206,,6.0,3,2016-06-13 00:00:00,0.0,15.6,,14.5,,1004.4,270.0,4.6
9600268,9600268,15,1414,Lodging/residential,65663,1975.0,,0,2016-06-25 16:00:00,64.0,26.7,,14.4,,1022.6,,1.5
15059027,15059027,9,990,Office,82939,,,1,2016-10-01 02:00:00,8.4404,21.1,0.0,12.8,0.0,1018.0,0.0,0.0
13841287,13841287,2,177,Entertainment/public assembly,167066,1989.0,,1,2016-09-09 13:00:00,863.738,26.7,2.0,17.8,0.0,1011.2,110.0,2.1
661051,661051,6,774,Lodging/residential,93500,,,2,2016-01-13 00:00:00,0.0,3.3,0.0,-7.2,0.0,1010.0,,2.1
15304289,15304289,8,846,Entertainment/public assembly,481,,1.0,0,2016-10-05 10:00:00,0.4167,23.3,0.0,22.2,0.0,1010.8,350.0,3.1
6075554,6075554,6,776,Office,104667,,,1,2016-04-24 01:00:00,0.2967,16.1,0.0,5.0,0.0,1014.4,310.0,2.6
8122224,8122224,1,134,Lodging/residential,49589,1998.0,8.0,0,2016-05-30 11:00:00,45.0,13.6,,11.0,,1016.5,350.0,4.6
1589226,1589226,14,1275,Office,114166,,,0,2016-01-29 19:00:00,223.541,3.3,,-1.7,-1.0,999.3,290.0,4.1
16119761,16119761,0,16,Education,54644,1996.0,,0,2016-10-19 21:00:00,1202.4,27.8,4.0,16.7,0.0,1015.4,70.0,6.2
4437328,4437328,3,383,Warehouse/storage,27318,,,0,2016-03-25 11:00:00,25.08,17.2,,13.3,0.0,1006.0,180.0,6.2
991527,991527,2,208,Healthcare,36904,1934.0,,0,2016-01-19 00:00:00,71.67,18.9,6.0,1.1,0.0,1017.1,0.0,0.0
18720632,18720632,3,376,Office,585955,1942.0,,0,2016-12-05 12:00:00,759.0,5.6,8.0,5.0,0.0,1016.3,220.0,2.6
3163997,3163997,0,33,Lodging/residential,38686,2002.0,,0,2016-02-29 05:00:00,0.0,14.4,,8.9,0.0,1022.8,150.0,1.5
1803007,1803007,14,1299,Education,25401,,,2,2016-02-02 16:00:00,487.0,7.2,0.0,-2.8,0.0,1027.4,10.0,3.1
7281333,7281333,2,187,Education,44203,1950.0,,3,2016-05-15 12:00:00,0.0,24.4,4.0,4.4,0.0,1004.6,150.0,3.6
9674610,9674610,13,1160,Office,80205,,,0,2016-06-27 00:00:00,28.297,30.6,2.0,10.6,0.0,1012.1,270.0,8.8
6767880,6767880,0,9,Office,27000,2010.0,,1,2016-05-06 09:00:00,928.628,13.9,0.0,7.2,0.0,1010.2,220.0,1.5
7596585,7596585,8,866,Public services,10174,,1.0,0,2016-05-21 02:00:00,23.8333,26.1,,20.0,0.0,1018.3,260.0,1.5
12586681,12586681,9,962,Public services,492898,,,1,2016-08-18 04:00:00,1155.32,24.4,,23.3,0.0,1017.0,190.0,1.5
16362393,16362393,1,121,Education,150318,1906.0,9.0,0,2016-10-24 04:00:00,469.0,9.9,,6.4,,1010.4,50.0,4.1
9520111,9520111,14,1289,Education,194441,,,0,2016-06-24 06:00:00,635.404,21.1,,18.3,0.0,1011.0,350.0,2.6
12997558,12997558,2,217,Education,282946,2003.0,,3,2016-08-25 14:00:00,0.0,26.7,2.0,13.9,0.0,1011.6,90.0,3.6
9706629,9706629,5,717,Education,28826,1976.0,2.0,0,2016-06-27 14:00:00,24.4,16.0,,11.0,,,270.0,8.2
3717957,3717957,2,172,Office,121440,1983.0,,0,2016-03-11 05:00:00,99.56,21.7,2.0,-3.9,0.0,1013.5,90.0,2.1
2991992,2991992,2,239,Lodging/residential,106440,1963.0,,1,2016-02-25 18:00:00,265.276,21.7,2.0,-6.7,0.0,1018.9,70.0,5.1
18446726,18446726,15,1411,Education,9111,1958.0,,0,2016-11-30 05:00:00,9.25,8.9,2.0,7.8,,1012.0,190.0,3.6
15962080,15962080,14,1305,Lodging/residential,37803,,,2,2016-10-17 01:00:00,0.0,16.7,0.0,13.3,0.0,1016.8,0.0,0.0
11883455,11883455,2,178,Office,23392,,,0,2016-08-05 10:00:00,28.34,31.7,,20.6,0.0,1006.6,120.0,3.1
14292275,14292275,13,1187,Office,121714,,,2,2016-09-17 12:00:00,188.0,15.0,8.0,13.3,0.0,1010.4,270.0,3.1
14692542,14692542,0,43,Retail,59071,1980.0,,0,2016-09-24 15:00:00,113.247,30.0,4.0,21.1,0.0,1017.7,310.0,2.1
19072556,19072556,13,1143,Office,96612,,,1,2016-12-11 19:00:00,0.5831,,,,,,,
16232774,16232774,15,1386,Entertainment/public assembly,82035,1975.0,,0,2016-10-21 20:00:00,132.0,9.4,,8.3,5.0,1005.3,350.0,4.1
10617523,10617523,2,161,Education,11329,,,0,2016-07-13 19:00:00,8.95,39.4,0.0,4.4,0.0,1011.7,150.0,4.6
7724728,7724728,2,286,Lodging/residential,32841,1935.0,,1,2016-05-23 09:00:00,58.7314,23.3,0.0,-5.0,0.0,1007.3,250.0,2.6
184653,184653,5,661,Entertainment/public assembly,7427,1976.0,2.0,0,2016-01-04 08:00:00,2.485,8.0,,7.0,,,240.0,4.1
13892202,13892202,13,1161,Office,53077,,,0,2016-09-10 10:00:00,19.668,15.6,2.0,12.2,0.0,1012.2,320.0,6.7
3045580,3045580,2,172,Office,121440,1983.0,,1,2016-02-26 20:00:00,138.775,28.9,0.0,-8.3,0.0,1016.5,100.0,3.1
19034745,19034745,13,1146,Public services,83155,,,1,2016-12-11 03:00:00,0.0,-10.6,,-13.3,5.0,1024.7,110.0,4.1
8305450,8305450,2,184,Education,34171,,,0,2016-06-02 17:00:00,57.6,32.8,2.0,1.7,0.0,1011.1,80.0,2.6
3934053,3934053,3,320,Education,105500,,,0,2016-03-15 12:00:00,112.4,8.3,8.0,6.7,5.0,1009.8,10.0,2.6
8528644,8528644,3,404,Public services,5783,,,0,2016-06-06 16:00:00,217.8,28.3,4.0,14.4,0.0,1007.7,250.0,5.7
14489931,14489931,14,1265,Food sales and service,35605,,,0,2016-09-21 00:00:00,194.919,23.9,0.0,19.4,0.0,1018.6,330.0,2.1
5856146,5856146,13,1157,Education,37107,,,1,2016-04-20 03:00:00,0.0,11.7,,7.8,0.0,1022.4,80.0,3.1
12161471,12161471,15,1371,Public services,50577,1956.0,,0,2016-08-10 10:00:00,65.7,20.6,,20.0,38.0,1019.5,110.0,2.1
14343568,14343568,9,953,Entertainment/public assembly,563782,,,1,2016-09-18 10:00:00,1452.74,25.0,0.0,22.8,0.0,1013.4,0.0,0.0
16452758,16452758,14,1262,Office,65000,,,3,2016-10-25 18:00:00,515.507,11.7,,-1.7,0.0,1022.7,350.0,6.2
15683034,15683034,14,1268,Office,43007,,,3,2016-10-12 02:00:00,390.934,10.0,0.0,7.2,0.0,1029.0,0.0,0.0
16295718,16295718,14,1226,Education,27995,,,2,2016-10-22 23:00:00,176.96200000000002,10.0,,-0.6,0.0,1003.7,280.0,9.3
253709,253709,6,770,Education,80325,,,2,2016-01-05 14:00:00,931.088,-7.2,0.0,-15.6,0.0,1036.4,0.0,0.0
14040126,14040126,9,948,Entertainment/public assembly,20372,,,0,2016-09-13 01:00:00,9.0,29.4,0.0,21.1,0.0,1011.3,120.0,2.1
20061958,20061958,13,1192,Office,43587,,,2,2016-12-29 06:00:00,0.0,-1.1,2.0,-5.6,0.0,1009.1,260.0,4.1
13185149,13185149,4,650,Education,75228,1993.0,4.0,0,2016-08-28 22:00:00,34.0,22.2,2.0,12.2,0.0,1018.2,280.0,6.7
11442476,11442476,14,1265,Food sales and service,35605,,,3,2016-07-28 11:00:00,78.5252,22.2,,21.7,0.0,,0.0,0.0
10164420,10164420,15,1387,Office,187041,1973.0,,2,2016-07-05 17:00:00,447.114,27.8,,16.7,,1009.9,270.0,3.6
14472017,14472017,3,311,Education,50000,1928.0,,0,2016-09-20 17:00:00,108.34,25.0,,20.0,0.0,1019.8,40.0,5.1
17151290,17151290,15,1349,Manufacturing/industrial,7919,1970.0,,1,2016-11-07 04:00:00,128.704,-2.2,0.0,-3.3,,1032.1,70.0,1.5
13809096,13809096,7,793,Education,150695,1964.0,6.0,0,2016-09-08 23:00:00,582.4,26.3,,22.1,,1003.8,250.0,2.1
11361933,11361933,2,246,Office,202435,1967.0,,0,2016-07-27 01:00:00,351.68,42.8,4.0,13.9,0.0,1002.9,290.0,3.1
3488530,3488530,14,1322,Entertainment/public assembly,166489,,,1,2016-03-06 15:00:00,0.0,1.7,,-9.4,0.0,1025.9,20.0,3.6
11794094,11794094,9,935,Office,16135,,,1,2016-08-03 19:00:00,105.752,35.6,0.0,22.8,0.0,1015.1,,2.6
286274,286274,9,976,Education,59498,,,2,2016-01-06 04:00:00,9.15,9.4,,3.3,0.0,,,2.6
9308932,9308932,14,1292,Office,58196,,,1,2016-06-20 12:00:00,1150.22,20.6,0.0,16.1,0.0,1021.7,360.0,1.5
19188529,19188529,14,1274,Office,17077,,,0,2016-12-13 20:00:00,51.0,5.6,,-5.0,0.0,1019.5,220.0,1.5
8703829,8703829,14,1320,Entertainment/public assembly,34565,,,0,2016-06-09 18:00:00,180.59,21.7,0.0,3.3,0.0,1009.9,310.0,5.7
18357593,18357593,3,348,Public services,10577,1969.0,,0,2016-11-28 16:00:00,17.89,8.3,,0.6,0.0,1022.3,190.0,4.6
3024509,3024509,14,1295,Office,115676,,,0,2016-02-26 09:00:00,137.621,1.7,,-5.0,0.0,1005.7,290.0,4.6
20173080,20173080,14,1238,Office,129707,,,1,2016-12-31 05:00:00,69.3112,0.0,0.0,-9.4,0.0,1016.4,290.0,2.6
16248744,16248744,13,1214,Office,195437,,,2,2016-10-22 03:00:00,1312.5,10.0,,1.1,0.0,1017.4,160.0,4.6
13476653,13476653,2,281,Food sales and service,28862,,,1,2016-09-03 02:00:00,80.8875,37.8,2.0,12.8,0.0,1003.4,200.0,2.6
18368260,18368260,13,1186,Lodging/residential,157070,,,2,2016-11-28 20:00:00,2812.5,10.0,,7.8,-1.0,981.9,170.0,5.7
1988946,1988946,10,1024,Education,53855,,2.0,0,2016-02-06 01:00:00,11.4697,0.0,,-2.8,0.0,1035.7,0.0,0.0
19106829,19106829,3,316,Public services,78550,,,0,2016-12-12 10:00:00,36.02,5.6,,3.9,8.0,1014.7,180.0,4.6
3590459,3590459,9,917,Education,237702,,,0,2016-03-08 16:00:00,473.0,20.0,,19.4,5.0,,190.0,4.1
7651583,7651583,15,1358,Lodging/residential,61439,1903.0,,0,2016-05-22 01:00:00,25.4,12.2,,10.0,,1014.8,360.0,2.1
6920588,6920588,2,170,Retail,45224,1982.0,,0,2016-05-09 02:00:00,20.36,25.0,4.0,2.2,0.0,1007.1,240.0,3.6
7785114,7785114,2,247,Education,64560,1965.0,,3,2016-05-24 11:00:00,55.6835,20.6,0.0,-1.7,0.0,1007.3,150.0,2.6
5721765,5721765,4,594,Education,177281,1964.0,7.0,0,2016-04-17 18:00:00,354.015,20.0,2.0,8.3,,1016.9,250.0,2.6
17160664,17160664,0,13,Education,99380,2000.0,,0,2016-11-07 09:00:00,425.576,17.2,,14.4,0.0,1021.6,20.0,2.6
18567310,18567310,10,998,Education,173479,,1.0,3,2016-12-02 11:00:00,1930.7,-5.6,2.0,-8.3,0.0,1022.7,190.0,1.5
17845531,17845531,1,144,Office,57673,,5.0,0,2016-11-19 15:00:00,72.125,7.5,,2.8,,1001.2,180.0,3.6
8816002,8816002,13,1099,Education,332884,,,2,2016-06-11 18:00:00,14908400.0,31.1,6.0,14.4,0.0,1014.2,0.0,0.0
14070519,14070519,8,846,Entertainment/public assembly,481,,1.0,0,2016-09-13 14:00:00,0.4167,25.6,,23.9,0.0,1014.5,330.0,3.6
10738128,10738128,8,815,Entertainment/public assembly,666,,1.0,0,2016-07-15 22:00:00,0.0,33.3,,22.2,0.0,1015.9,130.0,4.6
6058605,6058605,2,255,Education,49078,1914.0,,1,2016-04-23 18:00:00,111.308,28.9,4.0,4.4,0.0,1009.9,230.0,5.1
10266810,10266810,13,1086,Office,143973,,,0,2016-07-07 13:00:00,466.33,22.2,,17.8,0.0,1007.3,,2.1
4115634,4115634,6,771,Lodging/residential,82911,,,1,2016-03-19 02:00:00,0.0,13.9,0.0,-7.2,0.0,1014.1,190.0,1.5
2987113,2987113,13,1184,Lodging/residential,74584,,,2,2016-02-25 15:00:00,994.141,-2.8,,-8.3,0.0,1023.7,340.0,6.7
2235504,2235504,14,1262,Office,65000,,,0,2016-02-10 12:00:00,138.86,-1.1,,-2.8,-1.0,1002.9,270.0,3.6
212407,212407,8,811,Public services,4848,,1.0,0,2016-01-04 20:00:00,6.6667,17.8,0.0,-1.7,0.0,1015.6,300.0,5.7
12371316,12371316,14,1300,Healthcare,25609,,,0,2016-08-14 07:00:00,49.3145,28.3,0.0,24.4,0.0,1011.7,0.0,0.0
10439120,10439120,2,175,Education,111635,1989.0,,3,2016-07-10 15:00:00,0.0,33.9,2.0,11.1,0.0,1008.9,120.0,3.1
615109,615109,5,730,Education,126045,1966.0,4.0,0,2016-01-12 04:00:00,44.2,6.0,,3.0,,,290.0,8.8
4456310,4456310,3,424,Public services,32527,,,0,2016-03-25 20:00:00,17.57,20.0,,7.2,0.0,1009.2,340.0,7.2
19806034,19806034,6,776,Office,104667,,,1,2016-12-24 18:00:00,16.0235,8.3,,6.7,0.0,1020.7,210.0,3.1
807236,807236,15,1415,Lodging/residential,40492,1975.0,,0,2016-01-15 15:00:00,11.35,3.9,0.0,-1.7,,1009.3,160.0,5.1
5936663,5936663,2,167,Lodging/residential,86323,1956.0,,1,2016-04-21 14:00:00,201.234,20.6,4.0,-2.2,0.0,1010.1,130.0,2.6
19514959,19514959,15,1366,Office,87977,1947.0,,2,2016-12-19 14:00:00,668.784,-12.2,4.0,-13.3,,1041.8,0.0,0.0
5334337,5334337,15,1375,Office,115288,1957.0,,1,2016-04-10 20:00:00,30.6615,3.3,,-11.1,,1024.8,220.0,3.6
2868626,2868626,13,1134,Office,152946,,,0,2016-02-23 06:00:00,103.47,0.6,8.0,-3.9,0.0,1019.3,160.0,3.1
13818497,13818497,6,778,Entertainment/public assembly,108339,,,0,2016-09-09 03:00:00,157.717,26.1,0.0,21.7,0.0,1013.4,0.0,0.0
9490785,9490785,5,674,Entertainment/public assembly,149704,1976.0,8.0,0,2016-06-23 18:00:00,50.5,16.0,,12.0,,,290.0,8.2
19456787,19456787,3,559,Education,48994,2015.0,,0,2016-12-18 14:00:00,72.77,13.3,,11.7,0.0,1010.7,170.0,8.2
8589657,8589657,3,418,Entertainment/public assembly,86120,1926.0,,0,2016-06-07 18:00:00,214.49,30.0,6.0,15.0,0.0,1000.2,0.0,0.0
9837014,9837014,15,1364,Utility,74922,1940.0,,2,2016-06-29 21:00:00,415.132,23.3,,13.3,,1014.4,300.0,5.7
16980113,16980113,2,262,Entertainment/public assembly,20804,1999.0,,0,2016-11-04 04:00:00,24.2,18.3,,14.4,0.0,1015.3,110.0,2.1
6703652,6703652,12,1046,Education,201350,,,0,2016-05-05 05:00:00,181.012,9.4,8.0,6.7,,1017.4,200.0,5.0
12385556,12385556,3,481,Education,104294,1976.0,,0,2016-08-14 14:00:00,162.11,33.3,4.0,22.8,0.0,1016.5,270.0,4.1
18107797,18107797,6,755,Office,42129,,,0,2016-11-24 06:00:00,18.5333,3.9,0.0,-5.0,0.0,1023.0,0.0,0.0
12519978,12519978,3,391,Education,87107,,,0,2016-08-17 00:00:00,102.26,32.2,4.0,23.3,0.0,1017.6,190.0,5.7
15754290,15754290,2,221,Education,204349,1993.0,,0,2016-10-13 09:00:00,399.15,21.1,0.0,1.1,0.0,1011.5,100.0,2.6
11397079,11397079,3,488,Education,69600,1908.0,,0,2016-07-27 16:00:00,145.45,32.8,,19.4,0.0,1014.8,320.0,3.1
10990976,10990976,2,206,Public services,345837,1966.0,,0,2016-07-20 10:00:00,219.06,30.0,,19.4,-1.0,1011.9,0.0,0.0
14436320,14436320,0,60,Education,81576,1997.0,,1,2016-09-20 02:00:00,1983.89,23.9,,22.2,28.0,1015.9,240.0,2.6
4122009,4122009,7,799,Education,527431,1976.0,26.0,1,2016-03-19 05:00:00,0.0,-4.4,,-14.0,,1019.6,320.0,4.6
19203057,19203057,15,1414,Lodging/residential,65663,1975.0,,0,2016-12-14 02:00:00,82.35,-1.1,,-2.2,-1.0,1016.1,180.0,2.1
7459319,7459319,15,1395,Lodging/residential,98624,,,0,2016-05-18 15:00:00,71.725,11.7,0.0,5.6,,1022.9,280.0,4.1
11135509,11135509,12,1060,Entertainment/public assembly,71806,,,0,2016-07-22 23:00:00,21.3525,15.6,7.0,11.6,,1020.6,230.0,1.0
19936501,19936501,13,1100,Lodging/residential,174924,,,2,2016-12-27 01:00:00,7968.75,-7.8,,-13.3,-1.0,1014.5,280.0,6.2
9853348,9853348,15,1326,Office,46981,1962.0,,0,2016-06-30 04:00:00,90.55,12.2,0.0,11.1,,1016.7,50.0,1.5
19406446,19406446,0,52,Education,106523,1970.0,,0,2016-12-17 17:00:00,320.803,27.8,2.0,18.3,0.0,1021.7,180.0,7.2
9153482,9153482,9,954,Education,305224,,,1,2016-06-17 18:00:00,0.0,32.8,0.0,22.8,0.0,1014.1,,2.6
17966624,17966624,11,1029,Education,152559,,,3,2016-11-21 18:00:00,171.726,-2.9,,-5.1,,998.4,280.0,8.8
12905714,12905714,14,1303,Healthcare,200000,,,2,2016-08-23 20:00:00,1751.99,27.2,0.0,11.1,0.0,1024.3,300.0,2.6
19483686,19483686,13,1118,Services,26926,,,0,2016-12-19 01:00:00,21.741,-23.3,0.0,-27.8,0.0,1034.0,140.0,3.6
8578438,8578438,9,877,Office,8004,,,0,2016-06-07 13:00:00,9.0,21.7,0.0,17.8,0.0,1013.0,0.0,0.0
19016930,19016930,2,253,Education,65907,1964.0,,0,2016-12-10 20:00:00,85.69,20.6,4.0,2.8,0.0,1017.4,120.0,1.5
12797637,12797637,3,314,Education,225000,,,0,2016-08-21 22:00:00,2.6,26.1,,23.9,0.0,1008.8,160.0,2.6
1082410,1082410,14,1227,Education,76903,,,1,2016-01-20 15:00:00,0.0,-0.6,0.0,-8.9,0.0,1023.4,340.0,4.1
16817703,16817703,5,731,Education,29149,1919.0,2.0,0,2016-11-01 07:00:00,5.4,9.0,,9.0,,,60.0,6.7
106154,106154,3,313,Education,103800,,,0,2016-01-02 22:00:00,122.47,7.8,0.0,-4.4,0.0,1017.4,220.0,3.6
6447557,6447557,4,603,Public services,29063,2004.0,3.0,0,2016-04-30 16:00:00,76.3,18.9,0.0,4.4,,1013.2,360.0,4.6
2222482,2222482,15,1397,Lodging/residential,19984,1914.0,,1,2016-02-10 06:00:00,0.0,-2.2,,-2.8,,1000.5,170.0,1.5
16295755,16295755,14,1239,Office,31300,,,1,2016-10-22 23:00:00,124.174,10.0,,-0.6,0.0,1003.7,280.0,9.3
5517075,5517075,15,1379,Office,49553,1963.0,,1,2016-04-14 02:00:00,8.6864,0.6,,-5.0,,1029.9,300.0,1.5
1941967,1941967,3,351,Education,58908,1910.0,,0,2016-02-05 05:00:00,43.37,5.6,,-2.8,0.0,1019.4,330.0,7.2
5696303,5696303,8,846,Entertainment/public assembly,481,,1.0,0,2016-04-17 07:00:00,0.4167,17.8,,11.7,0.0,1020.9,50.0,4.6
3081743,3081743,7,802,Education,290625,1995.0,19.0,1,2016-02-27 13:00:00,312.99,-8.7,,-11.5,,1013.3,210.0,2.6
11199637,11199637,3,388,Public services,30810,,,0,2016-07-24 03:00:00,59.0,31.1,2.0,22.2,0.0,1013.0,270.0,1.5
10027199,10027199,3,295,Education,83400,1942.0,,0,2016-07-03 07:00:00,53.25,23.3,,12.8,0.0,1019.5,0.0,0.0
15922524,15922524,14,1309,Lodging/residential,58041,,,1,2016-10-16 08:00:00,110.494,7.2,0.0,5.0,0.0,1024.3,0.0,0.0
5444044,5444044,13,1191,Education,192152,,,1,2016-04-12 19:00:00,0.0,8.3,,-11.1,0.0,1024.8,180.0,4.1
